Diagnosed Diabetes; 65-74 (Age); Adults Aged 18+ Years; Percentage; U.S. States; 2014
Data downloaded on 19-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,22.3,21.5,24.3
Alabama,24.3,21.9,26.9
Alaska,21.3,17.4,25.9
Arizona,21.8,19.9,23.8
Arkansas,24.7,21.5,28.1
California,21.5,18.6,24.7
Colorado,16.3,14.5,18.2
Connecticut,20.9,18.1,24.0
Delaware,25.8,22.1,29.8
District of Columbia,19.8,16.1,24.0
Florida,22.7,20.4,25.3
Georgia,26.7,23.9,29.8
Hawaii,18.4,15.6,21.6
Idaho,16.9,14.1,20.1
Illinois,23.5,20.1,27.3
Indiana,22.3,20.2,24.6
Iowa,22.1,19.8,24.7
Kansas,22.3,20.5,24.2
Kentucky,25.6,23.0,28.2
Louisiana,27.1,24.3,30.2
Maine,19.3,17.2,21.6
Maryland,24.4,21.6,27.6
Massachusetts,22.4,20.0,24.9
Michigan,25.1,22.7,27.7
Minnesota,18.3,16.6,20.2
Mississippi,27.7,24.2,31.6
Missouri,23.6,20.8,26.7
Montana,16.6,14.2,19.3
Nebraska,20.0,18.3,21.8
Nevada,24.4,20.1,29.3
New Hampshire,19.5,16.6,22.7
New Jersey,24.2,21.5,27.2
New Mexico,24.8,21.9,28.0
New York,21.8,18.8,25.2
North Carolina,22.0,19.6,24.6
North Dakota,20.4,17.6,23.5
Ohio,25.1,22.4,27.9
Oklahoma,25.4,23.0,28.0
Oregon,20.4,17.8,23.3
Pennsylvania,23.5,21.3,26.0
Rhode Island,21.8,19.1,24.9
South Carolina,24.8,22.7,27.0
South Dakota,19.0,15.6,22.8
Tennessee,27.1,23.8,30.7
Texas,27.0,24.0,30.1
Utah,19.3,17.2,21.5
Vermont,15.8,13.3,18.5
Virginia,24.3,21.8,27.1
Washington,18.9,16.8,21.1
West Virginia,28.3,25.4,31.4
Wisconsin,19.3,16.4,22.7
Wyoming,17.7,15.2,20.4
Guam,25.9,19.6,33.4
Puerto Rico,35.7,32.3,39.2
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
