Diagnosed Diabetes; 18-44 (Age); Adults Aged 18+ Years; Percentage; U.S. States; 2014
Data downloaded on 19-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,2.8,2.6,3.1
Alabama,4.8,3.9,6.0
Alaska,1.8,1.2,2.7
Arizona,2.8,2.1,3.6
Arkansas,3.9,2.7,5.6
California,2.9,2.3,3.7
Colorado,2.2,1.7,2.8
Connecticut,2.1,1.4,3.0
Delaware,3.5,2.3,5.1
District of Columbia,1.8,0.9,3.6
Florida,2.9,2.2,3.8
Georgia,2.8,2.0,4.0
Hawaii,3.7,2.7,4.9
Idaho,2.0,1.3,3.2
Illinois,2.4,1.6,3.4
Indiana,3.1,2.4,4.0
Iowa,2.6,1.9,3.5
Kansas,3.0,2.5,3.7
Kentucky,4.5,3.4,5.8
Louisiana,3.0,2.3,3.9
Maine,2.3,1.7,3.2
Maryland,2.5,1.9,3.4
Massachusetts,3.4,2.6,4.3
Michigan,2.0,1.5,2.8
Minnesota,2.4,1.9,2.9
Mississippi,3.9,2.8,5.5
Missouri,3.7,2.6,5.2
Montana,2.5,1.7,3.6
Nebraska,2.6,2.0,3.3
Nevada,2.4,1.5,3.9
New Hampshire,2.3,1.5,3.5
New Jersey,2.6,2.0,3.4
New Mexico,3.4,2.6,4.3
New York,2.7,2.0,3.6
North Carolina,3.2,2.5,4.2
North Dakota,2.6,1.8,3.7
Ohio,3.0,2.3,3.9
Oklahoma,2.7,2.1,3.4
Oregon,2.6,1.8,3.7
Pennsylvania,2.6,2.0,3.4
Rhode Island,2.0,1.4,3.0
South Carolina,3.6,2.9,4.4
South Dakota,3.0,1.9,4.6
Tennessee,4.1,2.9,5.7
Texas,3.2,2.6,4.0
Utah,2.3,1.9,2.7
Vermont,3.1,2.3,4.1
Virginia,2.3,1.7,3.1
Washington,2.5,1.9,3.3
West Virginia,4.2,3.2,5.4
Wisconsin,2.3,1.6,3.4
Wyoming,3.1,2.1,4.6
Guam,4.4,3.1,6.2
Puerto Rico,3.5,2.7,4.5
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
